Isotopy Class      Permute Class
40                 1
40                 1
40                 1
40                 1
10                 1
40                 2
40                 2
40                 2
10                 2
40                 2
40                 3
40                 3
40                 3
40                 3
10                 3
40                 4
40                 4
40                 4
10                 4
40                 4
40                 5
40                 5
10                 5
40                 5
40                 5
40                 6
10                 6
40                 6
40                 6
40                 6
10                 7
40                 7
40                 7
40                 7
40                 7
40                 8
40                 8
10                 8
40                 8
40                 8
6                  9
40                 10
40                 10
40                 10
10                 10
40                 10
40                 11
40                 11
40                 11
10                 11
40                 11
6                  12
6                  13
6                  14
6                  15
6                  16
